date,price_aluminium_lme,price_copper_lme,price_nickel_lme,negative_aluminium_lme,negative_copper_lme,negative_nickel_lme,neutral_aluminium_lme,neutral_copper_lme,neutral_nickel_lme,positive_aluminium_lme,positive_copper_lme,positive_nickel_lme,sentiment_score_aluminium_lme,sentiment_score_copper_lme,sentiment_score_nickel_lme,action_aluminium_lme,action_name_aluminium_lme,greedy_action_aluminium_lme,greedy_action_name_aluminium_lme,prob_hold_aluminium_lme,prob_buy_aluminium_lme,prob_sell_aluminium_lme,entropy_aluminium_lme,normalized_entropy_aluminium_lme,position_aluminium_lme,action_copper_lme,action_name_copper_lme,greedy_action_copper_lme,greedy_action_name_copper_lme,prob_hold_copper_lme,prob_buy_copper_lme,prob_sell_copper_lme,entropy_copper_lme,normalized_entropy_copper_lme,position_copper_lme,action_nickel_lme,action_name_nickel_lme,greedy_action_nickel_lme,greedy_action_name_nickel_lme,prob_hold_nickel_lme,prob_buy_nickel_lme,prob_sell_nickel_lme,entropy_nickel_lme,normalized_entropy_nickel_lme,position_nickel_lme,cash_balance,net_worth,reward,capital_mode,mean_normalized_entropy
2020-01-16,1794.0026002669,6300.5091320967,14290.0207122706,0.25,0.1666666666666666,0.0833333333333333,0.5833333333333333,0.5,0.8333333333333334,0.1666666666666667,0.3333333333333333,0.0833333333333333,-0.0833333333333333,0.1666666666666666,0.0,1,buy,2,sell,0.328750878572464,0.3330211341381073,0.3382279872894287,1.0985447369027042,0.9999385117333,1,1,buy,0,hold,0.3398438096046448,0.3361463248729706,0.32400983572006226,1.0984056586048456,0.9998119172110166,1,1,buy,2,sell,0.33434614539146423,0.3236369788646698,0.34201690554618835,1.0983561978382403,0.9997668960810734,1,-12384.532348632812,10000.0,0.0,infinite,0.9998391083417967
2020-01-17,1796.0026031657,6276.5090973105,13840.0200600298,0.25,0.1666666666666667,0.0,0.75,0.5833333333333333,1.0,0.0,0.25,0.0,-0.25,0.0833333333333333,0.0,1,buy,2,sell,0.33302605152130127,0.3311864137649536,0.3357875347137451,1.0985962056393628,0.9999853605963515,2,0,hold,0,hold,0.33845922350883484,0.33694717288017273,0.3245936334133148,1.0984379694822,0.9998413278390312,1,0,hold,2,sell,0.33236220479011536,0.3233569264411926,0.344280868768692,1.0982822310855573,0.9996995686413152,1,-14180.534912109375,9528.0,-472.0,infinite,0.9998420856922325
2020-01-20,1807.0026191094,6245.0090516536,13845.0200672769,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.75,0.8333333333333334,0.75,0.0833333333333333,0.0833333333333333,0.1666666666666666,-0.0833333333333333,0.0,0.0833333333333333,2,sell,0,hold,0.33578068017959595,0.33246392011642456,0.3317554295063019,1.0985984509321536,0.999987404349925,1,1,buy,0,hold,0.34305399656295776,0.3369002938270569,0.32004570960998535,1.0981844602684179,0.9996105738083354,2,2,sell,2,sell,0.3285136818885803,0.32671692967414856,0.34476935863494873,1.098317203642423,0.9997314020344297,0,-4773.5211181640625,9523.5,-4.5,infinite,0.99977646006423
2020-01-21,1810.5026241824,6158.5089262784,13750.0199295816,0.1666666666666667,0.0833333333333333,0.0,0.5833333333333333,0.6666666666666667,0.8333333333333334,0.25,0.2499999999999999,0.1666666666666666,0.0833333333333333,0.1666666666666666,0.1666666666666666,0,hold,0,hold,0.3339611887931824,0.3330078721046448,0.33303093910217285,1.0986114015911392,0.9999991925477444,1,0,hold,1,buy,0.33980968594551086,0.34121137857437134,0.3189789652824402,1.0981438005606636,0.9995735637473944,2,1,buy,2,sell,0.3296597898006439,0.33314749598503113,0.33719274401664734,1.098569662856776,0.9999612003144572,1,-18523.540649414062,9353.9990234375,-169.5009765625,infinite,0.9998446522031986
2020-01-22,1807.5026198341,6103.5088465601,13645.0197773921,0.3333333333333334,0.3333333333333333,0.3333333333333334,0.5833333333333333,0.4166666666666666,0.5833333333333333,0.0833333333333333,0.25,0.0833333333333333,-0.25,-0.0833333333333333,-0.25,2,sell,0,hold,0.33436891436576843,0.333494633436203,0.33213645219802856,1.0986084913058551,0.9999965434919181,0,1,buy,0,hold,0.33933791518211365,0.33736321330070496,0.3232988715171814,1.0983816912625235,0.999790101195877,3,1,buy,2,sell,0.3267403542995453,0.3320465683937073,0.34121307730674744,1.0984517563732514,0.9998538772080795,2,-36464.56640625,9135.9990234375,-218.0,infinite,0.9998801739652915
2020-01-23,1781.5025821491,6050.0087690159,13300.0192773408,0.25,0.2499999999999999,0.3333333333333333,0.5833333333333333,0.6666666666666667,0.5,0.1666666666666667,0.0833333333333333,0.1666666666666666,-0.0833333333333333,-0.1666666666666666,-0.1666666666666666,1,buy,1,buy,0.3260887861251831,0.33870360255241394,0.3352075517177582,1.0984846984373364,0.9998838623670158,1,0,hold,1,buy,0.3347034156322479,0.3406451940536499,0.3246513903141022,1.0984158030897893,0.9998211511191462,3,1,buy,2,sell,0.3315114676952362,0.3318754732608795,0.3366130292415619,1.098588026138272,0.9999779152936044,3,-51546.08850097656,8285.4990234375,-850.5,infinite,0.9998943095932554
2020-01-24,1775.5025734525,5968.0086501631,12990.0188280193,0.1666666666666666,0.25,0.1666666666666666,0.6666666666666667,0.5833333333333333,0.6666666666666667,0.1666666666666666,0.1666666666666667,0.1666666666666666,0.0,-0.0833333333333333,0.0,0,hold,1,buy,0.3290387988090515,0.3361382484436035,0.3348228931427002,1.098569412951584,0.9999609728409484,1,2,sell,0,hold,0.3388414978981018,0.3368501365184784,0.3243083953857422,1.0984252484813313,0.9998297486850386,2,0,hold,2,sell,0.326288640499115,0.33265480399131775,0.34105658531188965,1.0984478362190064,0.9998503089299112,3,-45578.07971191406,7103.49609375,-1182.0029296875,infinite,0.9998803434852994
2020-01-27,1755.502544464,5779.008376222,12650.0183352151,0.0,0.1666666666666666,0.0833333333333333,1.0,0.5,0.8333333333333334,0.0,0.3333333333333333,0.0833333333333333,0.0,0.1666666666666666,0.0,0,hold,2,sell,0.33450308442115784,0.3296966552734375,0.33580026030540466,1.0985812217499165,0.99997172167241,1,1,buy,0,hold,0.3447381556034088,0.3307798504829407,0.3244820535182953,1.0982909941356926,0.9997075451132932,3,1,buy,2,sell,0.3313530683517456,0.32554370164871216,0.34310320019721985,1.0983728630775371,0.9997820654356024,4,-64007.10656738281,5685.4951171875,-1418.0009765625,infinite,0.9998204440737686
2020-01-28,1744.5025285204,5715.0082834588,12740.0184656633,0.1666666666666666,0.3333333333333333,0.0833333333333333,0.4166666666666666,0.3333333333333333,0.6666666666666667,0.4166666666666667,0.3333333333333333,0.2499999999999999,0.25,0.0,0.1666666666666666,1,buy,0,hold,0.33491241931915283,0.33232900500297546,0.33275848627090454,1.0986065437971821,0.9999947707931297,2,2,sell,0,hold,0.34438300132751465,0.3328772783279419,0.3227396309375763,1.0982606725210957,0.9996799451902724,2,2,sell,2,sell,0.3261687755584717,0.3330173194408417,0.3408139646053314,1.098451266054034,0.9998534309002942,3,-47296.582275390625,5842.4951171875,157.0,infinite,0.9998427156278987
2020-01-29,1732.5025111273,5698.0082588186,12630.0183062266,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,-0.0833333333333333,-0.0833333333333333,-0.0833333333333333,0,hold,2,sell,0.3312777280807495,0.32852792739868164,0.3401944041252136,1.098500999893565,0.9998987005919262,2,0,hold,0,hold,0.34147343039512634,0.3350149989128113,0.32351166009902954,1.0983633209712589,0.9997733798361633,2,0,hold,2,sell,0.3340780735015869,0.3242860436439514,0.34163588285446167,1.098385000445429,0.9997931133439656,3,-47296.582275390625,5454.4951171875,-388.0,infinite,0.9998217312573517
